7c6db0,151.1976,-34.0297,304.8,77.51,QFA430  ,347.35
7c770d,151.2593,-33.8489,220.98,53.1,XSV     ,35.54
7c0373,151.0648,-33.7672,571.5,74.94,AYT     ,44.44
7c443f,151.3296,-33.7707,60.96,49,NRL     ,4.21
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.1805,-33.7434,2293.62,147.42,VOZ942  ,145.09
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6db0,151.1967,-34.0262,281.94,77,QFA430  ,347.26
7c770d,151.2609,-33.8469,228.6,52.24,XSV     ,32.12
7c0373,151.0674,-33.7649,579.12,75.31,AYT     ,44.17
7c443f,151.3301,-33.7542,60.96,49.6,NRL     ,5.36
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.1847,-33.7487,2278.38,147.13,VOZ942  ,147.42
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6db0,151.1949,-34.0199,243.84,75.62,QFA430  ,346.63
7c770d,151.2634,-33.8433,236.22,52.07,XSV     ,29.6
7c0373,151.0727,-33.7603,571.5,76.42,AYT     ,43.36
7c443f,151.3301,-33.7542,60.96,49.77,NRL     ,7.13
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.1923,-33.7601,2247.9,145.71,VOZ942  ,151.53
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6c75,151.1733,-33.936,0,63.39,,346.87
7c6d26,150.9949,-34.0329,1927.86,141.51,VOZ417  ,88.75
7c6db0,151.194,-34.0162,220.98,75.27,QFA430  ,347.77
7c770d,151.265,-33.841,236.22,52.77,XSV     ,29.81
7c0373,151.076,-33.7574,563.88,77.17,AYT     ,42.84
7c443f,151.3312,-33.7465,60.96,49.71,NRL     ,6.54
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.1964,-33.7664,2232.66,145.51,VOZ942  ,151.26
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6c75,151.1723,-33.9329,60.96,62.51,VOZ648  ,346.19
7c6d26,151.0027,-34.0302,1905,141.86,VOZ417  ,96.45
7c6db0,151.1931,-34.0128,198.12,75.17,QFA430  ,348.15
7c770d,151.2665,-33.8388,243.84,52.97,XSV     ,29.05
7c0373,151.0787,-33.7549,563.88,76.52,AYT     ,41.73
7c443f,151.3315,-33.7447,60.96,49.71,NRL     ,6.54
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.1999,-33.7717,2217.42,145.06,VOZ942  ,151.16
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6c75,151.1706,-33.9276,167.64,61.9,VOZ648  ,338.55
7c6d26,151.015,-34.0361,1866.9,142.24,VOZ417  ,111.65
7c6db0,151.1916,-34.0064,167.64,76.07,QFA430  ,348.69
7c770d,151.269,-33.8349,236.22,54.57,XSV     ,28.74
7c0373,151.0839,-33.7499,563.88,76.95,AYT     ,40.93
7c443f,151.3319,-33.7408,60.96,49.52,NRL     ,4.17
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.2075,-33.7831,2186.94,145.75,VOZ942  ,151.08
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6c75,151.1692,-33.9254,220.98,62.47,VOZ648  ,329.85
7c6d26,151.023,-34.0394,1836.42,142.36,VOZ417  ,119.44
7c6db0,151.1908,-34.0033,152.4,76.28,QFA430  ,347.93
7c770d,151.2706,-33.8327,236.22,55.08,XSV     ,32.8
7c0373,151.0867,-33.7473,556.26,77.4,AYT     ,40.15
7c443f,151.332,-33.7387,60.96,49.45,NRL     ,2.98
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.211,-33.7885,2171.7,145.75,VOZ942  ,151.08
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6c75,151.1671,-33.9229,274.32,63.36,VOZ648  ,317.63
7c6d26,151.03,-34.0435,1805.94,143.01,VOZ417  ,129.01
7c6db0,151.1898,-33.9997,129.54,76.17,QFA430  ,348.31
7c770d,151.2724,-33.8305,236.22,54.33,XSV     ,37.3
7c0373,151.0895,-33.7445,548.64,78.06,AYT     ,40.72
7c443f,151.3321,-33.7361,60.96,49.45,NRL     ,2.98
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.2153,-33.795,2156.46,146,VOZ942  ,150.91
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6c75,151.1612,-33.9196,342.9,67.83,VOZ648  ,292.29
7c6d26,151.0407,-34.0517,1760.22,142.61,VOZ417  ,134.12
7c6db0,151.1883,-33.9936,91.44,75.78,QFA430  ,347.85
7c770d,151.2766,-33.8274,236.22,50.16,XSV     ,64.49
7c0373,151.0951,-33.7392,541.02,77.59,AYT     ,42.04
7c443f,151.3324,-33.7315,121.92,46.86,NRL     ,2.52
7c7a4c,151.1783,-33.955,None,72.99,VOZ841  ,346.55
7c7a41,151.2225,-33.8058,2125.98,146.26,VOZ942  ,150.73
7c6b19,151.2005,-33.9966,60.96,68.41,JST459  ,347.85
7c6c75,151.1579,-33.9188,373.38,70.54,VOZ648  ,280.08
7c6d26,151.0463,-34.0562,1744.98,141.21,VOZ417  ,133.23
